mz	RI	the_mass	delta_ppm	RDB	composition	attribution	_MESURED_MONOISOTOPIC_MASS_	_PPM_ERROR_	_COMPUTED_MONOISOTOPIC_MASS_	_ANNOTATION_NAME_	_ANNOTATION_TYPE_	_ANNOTATION_IN_NEG_MODE_	_ANNOTATION_IN_POS_MODE_	_ANNOTATION_FORMULA_
"217.05564 "	"0.1 "	"217.055959 "	"-1.47021567156674 "		"C7 H11 N2 Na2 O3 "	[(M-H+2Na)]+	217.055959 	0	0	NA	NA	NA	NA	NA
"176.09872 "	"0.02 "	"176.099668 "	"-5.38386366953459 "		"C6 13C H13 N2 O2 18O "	"[(M+H)]+ (13C) (18O)"	176.099668 	0	0	NA	NA	NA	NA	NA
"346.18097 "	"0.04 "	"346.180217 "	"2.17461904376411 "		"C13 13C H25 N4 O6 "	"[(2M+H)]+ (13C)"	346.180217 	0	0	NA	NA	NA	NA	NA
"173.09182 "	"100.0 "	"173.092069 "	"-1.43908936017255 "		"C7 H13 N2 O3 "	[(M+H)]+	173.092069 	0	173.09206825	+H	fragment	NA	[(M+H)]+	NA
"174.08875 "	"0.52 "	"174.089104 "	"-2.03399002945193 "		"C7 H13 N 15N O3 "	"[(M+H)]+ (15N)"	174.089104 	0	174.08903863	18O	isotope	[M+H]-_18O	[M+H]+_18O	NA
"171.07649 "	"0.12 "	"171.076419 "	"0.41447062866828 "		"C7 H11 N2 O3 "	[(M+H)-(H2)]+	171.076419 	3	171.07696721	-H	fragment	NA	[(M-H)]-	NA
"127.08634 "	"0.07 "	"127.086589 "	"-1.95984264827582 "		"C6 H11 N2 O "	[(M+H)-(HCOOH)]+	127.086589 	0	0	NA	NA	NA	NA	NA
"155.08131 "	"0.01 "	"155.081504 "	"-1.25150369054191 "		"C7 H11 N2 O2 "	[(M+H)-(H2O)]+	155.081504 	7	155.08260120	-(OH.)	fragment	NA	NA	NA
"128.08973 "	"0.0 "	"128.089944 "	"-1.67124959918475 "		"C5 13C H11 N2 O "	"[(M+H)-(HCOOH)]+ (13C)"	128.089944 	0	0	NA	NA	NA	NA	NA
"100.0754 "	"0.04 "	"100.07569 "	"-2.89835522998176 "		"C5 H10 N O "	[(M+H)-(C2H3NO2)]+	100.07569 	0	0	NA	NA	NA	NA	NA
"101.07882 "	"0.0 "	"101.079045 "	"-2.22652924682577 "		"C4 13C H10 N O "	"[(M+H)-(C2H3NO2)]+ (13C)"	101.079045 	0	0	NA	NA	NA	NA	NA
"368.16366 "	"0.02 "	"368.162162 "	"4.0683106201557 "		"C13 13C H24 N4 Na O6 "	"[(2M+Na)]+ (13C)"	368.162162 	0	0	NA	NA	NA	NA	NA
"196.0769 "	"0.08 "	"196.077369 "	"-2.39246153958203 "		"C6 13C H12 N2 Na O3 "	"[(M+Na)]+ (13C)"	196.077369 	0	0	NA	NA	NA	NA	NA
"218.05867 "	"0.0 "	"218.059314 "	"-2.95387347202617 "		"C6 13C H11 N2 Na2 O3 "	"[(M-H+2Na)]+ (13C)"	218.059314 	0	0	NA	NA	NA	NA	NA
"58.06477 "	"0.01 "	"58.065125 "	"-6.1143733585351 "		"C3 H8 N O0 "	[(M+H)-(C4H5NO3)]+	58.065125 	0	0	NA	NA	NA	NA	NA
"175.09531 "	"0.44 "	"175.096313 "	"-5.72882453736609 "		"C7 H13 N2 O2 18O "	"[(M+H)]+ (18O)"	175.096313 	8	175.094856767	13C3	isotope	[M+H]-_13C3	[M+H]+_13C3	NA
"195.07353 "	"1.59 "	"195.074014 "	"-2.48165813456368 "		"C7 H12 N2 Na O3 "	[(M+Na)]+	195.074014 	0	0	NA	NA	NA	NA	NA
"172.07962 "	"0.0 "	"172.079774 "	"-0.895482344645053 "		"C6 13C H11 N2 O3 "	"[(M+H)-(H2)]+ (13C)"	172.079774 	0	0	NA	NA	NA	NA	NA
"369.16048 "	"0.0 "	"369.163051 "	"-6.96495087592635 "		"C14 H24 N4 Na O5 18O "	"[(2M+Na)]+ (18O)"	369.163051 	0	0	NA	NA	NA	NA	NA
"367.15962 "	"0.18 "	"367.158807 "	"2.21375211094591 "		"C14 H24 N4 Na O6 "	[(2M+Na)]+	367.158807 	0	0	NA	NA	NA	NA	NA
"345.17726 "	"0.33 "	"345.176862 "	"1.15248351400153 "		"C14 H25 N4 O6 "	[(2M+H)]+	345.176862 	0	0	NA	NA	NA	NA	NA
"98.05979 "	"0.01 "	"98.06004 "	"-2.5500070544735 "		"C5 H8 N O "	[(M+H)-(C2H5NO2)]+	98.06004 	0	0	NA	NA	NA	NA	NA
"174.09481 "	"7.72 "	"174.095424 "	"-3.52735006558776 "		"C6 13C H13 N2 O3 "	"[(M+H)]+ (13C)"	174.095424 	0	0	NA	NA	NA	NA	NA
