mz	RI	the_mass	delta_ppm	RDB	composition	attribution	_MESURED_MONOISOTOPIC_MASS_	_PPM_ERROR_	_COMPUTED_MONOISOTOPIC_MASS_	_ANNOTATION_NAME_	_ANNOTATION_TYPE_	_ANNOTATION_IN_NEG_MODE_	_ANNOTATION_IN_POS_MODE_	_ANNOTATION_FORMULA_
"477.26977 "	"3.79 "	"477.269455 "	"0.659455945208344 "		"C22 H38 N4 Na O6 "	[(2M-2H+Na)]-	477.26977 	0	0	NA	NA	NA	NA	NA
"297.13238 "	"0.26 "	"297.131786 "	"1.99856436600426 "		"C12 H20 N2 Na O4 18O "	"[(M-H)+(HCOONa)]- (18O)"	297.13238 	2.0	297.13178604	+(HCOONa)_18O	"isotopic massif"	x_18O	NA	NA
"363.115 "	"11.61 "	"363.114967 "	"0.0903317280629984 "		"C13 H21 N2 Na2 O7 "	[(M-H)+2(HCOONa)]-	363.115 	0	363.1149632	+2(HCOONa)	adduct	NA	NA	NA
"456.29181 "	"0.35 "	"456.290865 "	"2.07049879905029 "		"C21 13C H39 N4 O6 "	"[(2M-H)]- (13C)"	456.29181 	2.1	456.290864	2M-H_13C	"isotopic massif"	2M-H_13C	NA	NA
"457.29617 "	"0.05 "	"457.29422 "	"4.26366451253264 "		"C20 13C2 H39 N4 O6 "	"[(2M-H)]- (13C2)"	457.29617 	4.3	457.294219	2M-H_13C2	"isotopic massif"	2M-H_13C2	NA	NA
"183.15031 "	"0.06 "	"183.150287 "	"0.125031348877513 "		"C10 H19 N2 O "	[(M-H)-(CO2)]-	183.15031 	0.1	183.15028687	-(CO2)	fragment	[(M-H)-CO2]-	NA	NA
"264.11976 "	"0.02 "	"264.12015 "	"-1.47714928621122 "		"C10 13C H20 Cl N2 O3 "	"[(M+Cl)]- (13C)"	264.11976 	1.5	264.1202	"Cl _13C"	"isotopic massif"	[M+Cl]-_13C	NA	NA
"295.12762 "	"46.86 "	"295.127542 "	"0.263743933913593 "		"C12 H20 N2 Na O5 "	[(M-H)+(HCOONa)]-	295.12762 	0.3	295.12753966	+(HCOONa)	adduct	NA	NA	NA
"546.26219 "	"0.26 "	"546.260235 "	"3.57833173171769 "		"C22 13C H39 N4 Na2 O8 "	"[(2M-2H+Na)+(HCOONa)]- (13C)"	546.26219 	0	0	NA	NA	NA	NA	NA
"296.13079 "	"3.23 "	"296.130897 "	"-0.361875280696338 "		"C11 13C H20 N2 Na O5 "	"[(M-H)+(HCOONa)]- (13C)"	296.13079 	0.4	296.13089450	+(HCOONa)_13C	"isotopic massif"	x_13C	NA	NA
"459.25948 "	"0.01 "	"459.25889 "	"1.28412987234287 "		"C22 H36 N4 Na O5 "	[(2M-2H+Na)-(H2O)]-	459.25948 	0	0	NA	NA	NA	NA	NA
"365.12117 "	"0.13 "	"365.121677 "	"-1.38912677700868 "		"C11 13C2 H21 N2 Na2 O7 "	"[(M-H)+2(HCOONa)]- (13C2)"	365.12117 	1.4	365.1216729	+2(HCOONa)_13C2	"isotopic massif"	x_13C2	NA	NA
"287.09591 "	"0.24 "	"287.09579 "	"0.417430380984552 "		"C11 H19 Cl0 37Cl N2 Na O3 "	"[(M-H)+(NaCl)]- (37Cl)"	287.09591 	0	0	NA	NA	NA	NA	NA
"364.11859 "	"1.1 "	"364.118322 "	"0.735475903927103 "		"C12 13C H21 N2 Na2 O7 "	"[(M-H)+2(HCOONa)]- (13C)"	364.11859 	0.7	364.1183180	+2(HCOONa)_13C	"isotopic massif"	x_13C	NA	NA
"285.0988 "	"0.79 "	"285.09874 "	"0.209904822873733 "		"C11 H19 Cl N2 Na O3 "	[(M-H)+(NaCl)]-	285.0988 	0.2	285.09873807	+(NaCl)	adduct	[(M-H+Na)+Cl]-	NA	NA
"265.11453 "	"0.01 "	"265.113845 "	"2.5832470720145 "		"C11 H20 Cl0 37Cl N2 O3 "	"[(M+Cl)]- (37Cl)"	265.11453 	0	0	NA	NA	NA	NA	NA
"432.10673 "	"0.57 "	"432.105747 "	"2.27435752084016 "		"C13 13C H22 N2 Na3 O9 "	"[(M-H)+3(HCOONa)]- (13C)"	432.10673 	0	0	NA	NA	NA	NA	NA
"431.1026 "	"4.59 "	"431.102392 "	"0.481935404977454 "		"C14 H22 N2 Na3 O9 "	[(M-H)+3(HCOONa)]-	431.1026 	0	0	NA	NA	NA	NA	NA
"547.26413 "	"0.04 "	"547.26359 "	"0.986178857961698 "		"C21 13C2 H39 N4 Na2 O8 "	"[(2M-2H+Na)+(HCOONa)]- (13C2)"	547.26413 	0	0	NA	NA	NA	NA	NA
"479.27888 "	"0.07 "	"479.276165 "	"5.66424386814257 "		"C20 13C2 H38 N4 Na O6 "	"[(2M-2H+Na)]- (13C2)"	479.27888 	0	0	NA	NA	NA	NA	NA
"286.10285 "	"0.06 "	"286.102095 "	"2.63836953066796 "		"C10 13C H19 Cl N2 Na O3 "	"[(M-H)+(NaCl)]- (13C)"	286.10285 	2.6	286.10209291	+(NaCl)_13C	"isotopic massif"	[(M-H+Na)+Cl]-_13C	NA	NA
"230.14751 "	"0.02 "	"230.147716 "	"-0.895625896216572 "		"C10 13C H19 N2 O2 18O "	"[(M-H)]- (13C) (18O)"	230.14751 	0.9	230.14771733	13C+18O	isotope	[M+H]-_13C_18O	NA	NA
"500.09546 "	"0.3 "	"500.093172 "	"4.57459886885711 "		"C14 13C H23 N2 Na4 O11 "	"[(M-H)+4(HCOONa)]- (13C)"	500.09546 	0	0	NA	NA	NA	NA	NA
