id,ssn,first_name,last_name,address,city,state,zip
1,999-99-9999,Alice,Zoltan,"360 5 Avenue, Suite 1299","New York","NY",10001
2,999-99-9998,Bobby,Youngblood,"1600 Pennsylvania Avenue","Washington","DC",20001
3,999-99-9997,Carla,Xenia,"79 Nancy Street","Norfolk","Virginia",21212
4,999-99-9996,Dennis,Waterstone,"870 Oliver Alley, #5B","Oklahoma City",OK,77777
5,999-99-9995,Enrique,Victor,"929 Milltown Manor","Milwaukee","WI",53707
6,999-99-9994,Felicia,Ulster,"9029 Lovers Lane","Lewiston","LA",70117
7,999-99-9993,Guinevere,Tyler,"1 Kodiak Hwy","Kodiak","AK",98989
8,999-99-9992,Horacio,Sans Souci,"123 George's Gulch","Atlanta","GA",36929,
9,999-99-9991,Ingres,Rotario,"7889 Fulton Ferry","Florida City","Florida",34322
10,999-99-9990,Joanne,Quentin,"343 East 13 St","New City","NY",10003
11,999-99-9989,Kristina,Poplar,"Ruggles Gap","Birmingham","AL",38921
12,999-99-9988,Lucia,O'Hare,"345 Boulevard of Broken Dreams","Los Angeles","CA",90066
